LEVEL2,LEVEL1,ALTERNATIVE,STATUS,STATUS NOTE,ITEMID,MIMIC LABEL,UNITNAME,LINKSTO,COUNT,CATEGORY,CONCEPTID,FLUID,LOINC_CODE,DBSOURCE,,PARAM_TYPE,NOTE,M_E_APPENDIXB
Alanine aminotransferase,Alanine aminotransferase,ALT,ready,,50861,ALANINE AMINOTRANSFERASE (ALT),,labevents,219475,CHEMISTRY,,BLOOD,6/1/1742,,,,,0
Alanine aminotransferase,Alanine aminotransferase,ALT,ready,,769,ALT,,chartevents,41594,Enzymes,,,,carevue,,,,1
Alanine aminotransferase,Alanine aminotransferase,ALT,ready,,220644,ALT,None,chartevents,37625,Labs,,,,metavision,,Numeric,,1
Albumin,Albumin,,ready,,50862,ALBUMIN,,labevents,146697,CHEMISTRY,,BLOOD,7/1/1751,,,,,0
Albumin,Albumin,,ready,,772,Albumin (>3.2),,chartevents,31022,Chemistry,,,,carevue,,,,1
Albumin,Albumin,,ready,,1521,Albumin,,chartevents,24454,Chemistry,,,,carevue,,,,1
Albumin,Albumin,,ready,,227456,Albumin,None,chartevents,22945,Labs,,,,metavision,,Numeric with tag,,1
Albumin,Albumin,,verify,,3727,Albumin  (3.9-4.8),,chartevents,546,Chemistry,,,,carevue,,,,0
Albumin ascites,Albumin (ascites),,ready,,50835,"ALBUMIN, ASCITES",,labevents,1592,CHEMISTRY,,ASCITES,1/1/1749,,,,,0
Albumin,Albumin (body fluid),,verify,,51025,"ALBUMIN, BODY FLUID",,labevents,422,CHEMISTRY,,OTHER BODY FLUID,5/1/1747,,,,,0
Albumin pleural,Albumin (pleural),,ready,,51046,"ALBUMIN, PLEURAL",,labevents,1175,CHEMISTRY,,PLEURAL,3/1/1748,,,,,0
Albumin urine,Albumin (urine),,ready,,51069,"ALBUMIN, URINE",,labevents,2381,CHEMISTRY,,URINE,1/1/1754,,,,,0
Alkaline phosphate,Alkaline phosphate,ALP,ready,,50863,ALKALINE PHOSPHATASE,,labevents,207860,CHEMISTRY,,BLOOD,06/01/1968,,,,,0
Alkaline phosphate,Alkaline phosphate,ALP,ready,,773,Alk. Phosphate,,chartevents,40637,Enzymes,,,,carevue,,,,1
Alkaline phosphate,Alkaline phosphate,ALP,ready,,225612,Alkaline Phosphate,None,chartevents,36836,Labs,,,,metavision,,Numeric,,1
Alkaline phosphate,Alkaline phosphate,ALP,verify,,3728,Alkaline Phosphatase,,chartevents,1651,Chemistry,,,,carevue,,,,0
Anion gap,Anion gap,,ready,,50868,ANION GAP,,labevents,769895,CHEMISTRY,,BLOOD,1863-0,,,,,0
Anion gap,Anion gap,,ready,,227073,Anion gap,None,chartevents,150220,Labs,,,,metavision,,Numeric,,1
Anion gap,Anion gap,,verify,,3732,Anion Gap   (8-20),,chartevents,15517,Chemistry,,,,carevue,,,,0
Asparate aminotransferase,Asparate aminotransferase,AST,ready,,50878,ASPARATE AMINOTRANSFERASE (AST),,labevents,219465,CHEMISTRY,,BLOOD,20/01/2008,,,,,0
Asparate aminotransferase,Asparate aminotransferase,AST,ready,,770,AST,,chartevents,41447,Enzymes,,,,carevue,,,,1
Asparate aminotransferase,Asparate aminotransferase,AST,ready,,220587,AST,None,chartevents,37598,Labs,,,,metavision,,Numeric,,1
Basophils,Basophils,,ready,,51146,BASOPHILS,,labevents,172142,HEMATOLOGY,,BLOOD,704-7,,,,,0
Basophils,Basophils,,ignore,,51442,BASOPHILS,,labevents,137,HEMATOLOGY,,PLEURAL,35070-2,,,,,0
Basophils,Basophils,,ignore,,51345,BASOPHILS,,labevents,119,HEMATOLOGY,,CEREBROSPINAL FLUID (CSF),30374-3,,,,,0
Basophils,Basophils,,verify,,51112,BASOPHILS,,labevents,82,HEMATOLOGY,,ASCITES,35069-4,,,,,0
Basophils,Basophils,,verify,,51387,BASOPHILS,,labevents,75,HEMATOLOGY,,OTHER BODY FLUID,28543-7,,,,,0
Basophils,Basophils,,verify,,51367,BASOPHILS,,labevents,10,HEMATOLOGY,,JOINT FLUID,17833-5,,,,,0
Bicarbonate,Bicarbonate,HCO3,ready,,50882,BICARBONATE,,labevents,780733,CHEMISTRY,,BLOOD,08/01/1963,,,,,0
Bicarbonate,Bicarbonate (serum),HCO3 (serum),ready,,227443,HCO3 (serum),None,chartevents,152671,Labs,,,,metavision,,Numeric with tag,,1
Bicarbonate,Bicarbonate (whole blood),HCO3 (whole blood),ready,,50803,"CALCULATED BICARBONATE, WHOLE BLOOD",,labevents,9246,BLOOD GAS,,BLOOD,06/01/1959,,,,,0
Bicarbonate urine,Bicarbonate (urine),HCO3 (urine),verify,,51076,"BICARBONATE, URINE",,labevents,1000,CHEMISTRY,,URINE,06/01/1964,,,,,0
Bilirubin,Bilirubin (blody fluid),,verify,,51028,"BILIRUBIN, TOTAL, BODY FLUID",,labevents,355,CHEMISTRY,,OTHER BODY FLUID,05/01/1974,,,,,0
Bilirubin,Bilirubin (conjugated),Direct bilirubin,ready,,50883,"BILIRUBIN, DIRECT",,labevents,45205,CHEMISTRY,,BLOOD,07/01/1968,,,,,0
Bilirubin,Bilirubin (conjugated),Direct bilirubin,ready,,803,Direct Bili (0-0.3),,chartevents,22646,Chemistry,,,,carevue,,,,1
Bilirubin,Bilirubin (conjugated),Direct bilirubin,ready,,225651,Direct Bilirubin,None,chartevents,3341,Labs,,,,metavision,,Numeric,,1
Bilirubin,Bilirubin (CSF),,verify,,51012,"BILIRUBIN, TOTAL, CSF",,labevents,3,CHEMISTRY,,CEREBROSPINAL FLUID (CSF),07/01/1973,,,,,0
Bilirubin,"Bilirubin (total, ascites)",,verify,,50838,"BILIRUBIN, TOTAL, ASCITES",,labevents,784,CHEMISTRY,,ASCITES,14422-0,,,,,0
Bilirubin,"Bilirubin (total, pleural)",,verify,,51049,"BILIRUBIN, TOTAL, PLEURAL",,labevents,84,CHEMISTRY,,PLEURAL,14421-2,,,,,0
Bilirubin,Bilirubin (total),Total bilirubin,ready,,50885,"BILIRUBIN, TOTAL",,labevents,238277,CHEMISTRY,,BLOOD,02/01/1975,,,,,0
Bilirubin,Bilirubin (total),Total bilirubin,ready,,1538,Total Bili,,chartevents,51334,Chemistry,,,,carevue,,,,1
Bilirubin,Bilirubin (total),Total bilirubin,ready,,848,Total Bili (0-1.5),,chartevents,40239,Chemistry,,,,carevue,,,,1
Bilirubin,Bilirubin (total),Total bilirubin,ready,,225690,Total Bilirubin,None,chartevents,37961,Labs,,,,metavision,,Numeric,,1
Bilirubin,Bilirubin (unconjugated),,ready,,50884,"BILIRUBIN, INDIRECT",,labevents,44385,CHEMISTRY,,BLOOD,01/01/1971,,,,,0
Bilirubin,Bilirubin (unconjugated),,verify,,3765,Indirect Bili(0-1.0),,chartevents,18859,Chemistry,,,,carevue,,,,0
Bilirubin,BIlirubin (urine dip),,verify,,51464,BILIRUBIN,,labevents,99679,HEMATOLOGY,,URINE,03/01/1970,,,,,0
Bilirubin,Bilirubin (urine),,verify,,51465,BILIRUBIN CRYSTALS,,labevents,83,HEMATOLOGY,,URINE,01/01/1971,,,,,0
Blood culture,Blood culture,,verify,,3333,Blood Cultures,,chartevents,5061,,,,,carevue,,,,0
Blood culture,Blood culture,,verify,,50886,BLOOD CULTURE HOLD,,labevents,188,CHEMISTRY,,BLOOD,,,,,,0
Blood urea nitrogen,Blood urea nitrogen,BUN,ready,,51006,UREA NITROGEN,,labevents,791925,CHEMISTRY,,BLOOD,3094-0,,,,,0
Blood urea nitrogen,Blood urea nitrogen,BUN,ready,,781,BUN (6-20),,chartevents,195714,Chemistry,,,,carevue,,,,1
Blood urea nitrogen,Blood urea nitrogen,BUN,ready,,1162,BUN,,chartevents,152539,,,,,carevue,,,,1
Blood urea nitrogen,Blood urea nitrogen,BUN,ready,,225624,BUN,None,chartevents,152475,Labs,,,,metavision,,Numeric,,1
Blood urea nitrogen,Blood urea nitrogen,BUN,ready,,3737,BUN    (6-20),,chartevents,2139,Chemistry,,,,carevue,,,,0
Calcium,Calcium,,ready,,786,Calcium (8.4-10.2),,chartevents,158078,Chemistry,,,,carevue,,,,1
Calcium,Calcium,,ready,,1522,Calcium,,chartevents,130402,Chemistry,,,,carevue,,,,1
Calcium,Calcium,,verify,,3746,Calcium   (8.8-10.8),,chartevents,1981,Chemistry,,,,carevue,,,,0
